date,region,product,revenue,orders,support_tickets,churn_rate
2025-01-09,US-West,Pro,10281.72,8,12,0.0256
2025-01-09,US-West,Basic,3548.64,6,3,0.026
2025-01-09,Europe,Enterprise,27204.67,3,5,0.0415
2025-01-09,Europe,Pro,8735.02,8,4,0.0381
2025-01-09,Europe,Basic,2915.67,8,7,0.0258
2025-01-09,Asia,Enterprise,24661.05,3,4,0.0332
2025-01-09,Asia,Pro,7096.93,5,7,0.0213
2025-01-09,Asia,Basic,2257.85,6,4,0.0252
2025-01-10,US-East,Enterprise,40153.94,10,12,0.0325
2025-01-10,US-East,Pro,12572.95,10,5,0.0377
2025-01-10,US-East,Basic,3944.28,6,5,0.0341
2025-01-10,US-West,Enterprise,31615.09,6,6,0.0304
2025-01-10,US-West,Pro,10198.84,7,5,0.0354
2025-01-10,US-West,Basic,3240.57,6,7,0.0265
2025-01-10,Europe,Enterprise,32499.46,6,6,0.0332
2025-01-10,Europe,Pro,9488.43,8,7,0.0366
2025-01-10,Europe,Basic,3149.33,5,2,0.0237
2025-01-10,Asia,Enterprise,25852.78,5,9,0.0356
2025-01-10,Asia,Pro,7304.73,6,5,0.0298
2025-01-10,Asia,Basic,2238.72,4,4,0.0266
2025-01-11,US-East,Enterprise,23924.12,3,6,0.0252
2025-01-11,US-East,Pro,7222.6,4,3,0.0242
2025-01-11,US-East,Basic,2438.44,1,2,0.0291
2025-01-11,US-West,Enterprise,19762.32,4,4,0.0247
2025-01-11,US-West,Pro,6584.47,6,2,0.0391
2025-01-11,US-West,Basic,2088.01,4,7,0.0334
2025-01-11,Europe,Enterprise,18462.89,8,3,0.0248
2025-01-11,Europe,Pro,5286.2,4,8,0.0356
2025-01-11,Europe,Basic,1786.68,1,7,0.0311
2025-01-11,Asia,Enterprise,15237.83,6,8,0.0277
2025-01-11,Asia,Pro,4642.96,4,4,0.0299
2025-01-11,Asia,Basic,1532.88,4,5,0.0281
2025-01-12,US-East,Enterprise,22591.72,6,5,0.0304
2025-01-12,US-East,Pro,6781.75,6,5,0.0275
2025-01-12,US-East,Basic,2376.69,8,6,0.0302
2025-01-12,US-West,Enterprise,19826.25,3,4,0.0248
2025-01-12,US-West,Pro,6441.84,4,5,0.0355
2025-01-12,US-West,Basic,1946.45,5,6,0.0247
2025-01-12,Europe,Enterprise,18088.57,7,7,0.0246
2025-01-12,Europe,Pro,5878.22,2,7,0.0315
2025-01-12,Europe,Basic,1862.78,4,8,0.0291
2025-01-12,Asia,Enterprise,14504.53,1,5,0.0228
2025-01-12,Asia,Pro,4704.94,5,6,0.0242
2025-01-12,Asia,Basic,1338.25,5,6,0.0209
2025-01-13,US-East,Enterprise,41828.58,8,5,0.0215
2025-01-13,US-East,Pro,12030.36,6,7,0.0245
2025-01-13,US-East,Basic,4140.77,6,5,0.0299
2025-01-13,US-West,Enterprise,35200.72,7,6,0.0368
2025-01-13,US-West,Pro,10533.06,4,8,0.0266
2025-01-13,US-West,Basic,3473.23,5,5,0.0407
2025-01-13,Europe,Enterprise,30290.73,5,7,0.026
2025-01-13,Europe,Pro,9810.48,9,6,0.0272
2025-01-13,Europe,Basic,2856.1,4,3,0.0269
2025-01-13,Asia,Enterprise,25027.56,7,9,0.0305
2025-01-13,Asia,Pro,7288.86,3,5,0.0379
2025-01-13,Asia,Basic,2380.87,7,9,0.0239
2025-01-14,US-East,Enterprise,38831.41,8,5,0.0246
2025-01-14,US-East,Pro,11564.36,6,10,0.0288
2025-01-14,US-East,Basic,4050.77,7,7,0.0327
2025-01-14,US-West,Enterprise,32750.73,6,8,0.03
2025-01-14,US-West,Pro,8988.21,6,2,0.0303
2025-01-14,US-West,Basic,3519.94,6,5,0.0324
2025-01-14,Europe,Enterprise,32572.74,8,4,0.0272
2025-01-14,Europe,Pro,8890.58,5,3,0.0265
2025-01-14,Europe,Basic,2793.58,7,6,0.0241
2025-01-14,Asia,Enterprise,22024.66,5,2,0.0338
2025-01-14,Asia,Pro,7119.5,4,4,0.0299
2025-01-14,Asia,Basic,2490.67,5,4,0.0251
2025-01-15,US-East,Enterprise,42747.84,6,10,0.0334
2025-01-15,US-East,Pro,11821.02,12,6,0.027
2025-01-15,US-East,Basic,4056.77,11,3,0.026
2025-01-15,US-West,Enterprise,36559.83,5,4,0.0234
2025-01-15,US-West,Pro,10909.7,8,2,0.033
2025-01-15,US-West,Basic,3658.1,4,5,0.0275
2025-01-15,Europe,Enterprise,32496.17,10,7,0.0213
2025-01-15,Europe,Pro,8202.39,6,4,0.0307
2025-01-15,Europe,Basic,3159.48,5,10,0.0316
2025-01-15,Asia,Enterprise,24269.95,4,9,0.0296
2025-01-15,Asia,Pro,7928.4,6,5,0.0341
2025-01-15,Asia,Basic,2311.04,7,6,0.0279
2025-01-16,US-East,Enterprise,40166.68,8,5,0.0256
2025-01-16,US-East,Pro,11865.95,9,9,0.0281
2025-01-16,US-East,Basic,3735.3,9,5,0.0377
2025-01-16,US-West,Enterprise,37819.68,11,6,0.036
2025-01-16,US-West,Pro,10886.94,5,6,0.0296
2025-01-16,US-West,Basic,3416.28,9,9,0.0332
2025-01-16,Europe,Enterprise,33186.05,9,3,0.0307
2025-01-16,Europe,Pro,8293.97,6,7,0.0293
2025-01-16,Europe,Basic,3028.65,9,6,0.0318
2025-01-16,Asia,Enterprise,24409.99,2,5,0.0255
2025-01-16,Asia,Pro,7087.32,4,3,0.0212
2025-01-16,Asia,Basic,2301.71,5,4,0.0304
2025-01-17,US-East,Enterprise,42097.4,5,6,0.0279
2025-01-17,US-East,Pro,11817.75,9,5,0.0278
2025-01-17,US-East,Basic,4125.77,11,6,0.0182
2025-01-17,US-West,Enterprise,32678.47,7,4,0.0403
2025-01-17,US-West,Pro,10000.36,7,5,0.0282
2025-01-17,US-West,Basic,3529.61,7,2,0.0298
2025-01-17,Europe,Enterprise,31707.95,6,8,0.0208
2025-01-17,Europe,Pro,9201.52,6,8,0.0368
2025-01-17,Europe,Basic,2985.88,5,6,0.031
2025-01-17,Asia,Enterprise,24586.69,5,7,0.03
2025-01-17,Asia,Pro,7300.02,4,5,0.0314
2025-01-17,Asia,Basic,2466.32,8,7,0.0318
2025-01-18,US-East,Enterprise,24990.31,3,3,0.0267
2025-01-18,US-East,Pro,6557.31,5,8,0.0363
2025-01-18,US-East,Basic,2376.13,5,6,0.0203
2025-01-18,US-West,Enterprise,20807.57,6,9,0.0234
2025-01-18,US-West,Pro,5674.45,1,6,0.0317
2025-01-18,US-West,Basic,2087.44,5,4,0.0278
2025-01-18,Europe,Enterprise,19055.49,2,5,0.0206
2025-01-18,Europe,Pro,5392.36,1,5,0.0339
2025-01-18,Europe,Basic,1906.81,4,2,0.0304
2025-01-18,Asia,Enterprise,15443.78,1,7,0.0312
2025-01-18,Asia,Pro,4235.55,1,9,0.0288
2025-01-18,Asia,Basic,1398.05,7,6,0.0291
2025-01-19,US-East,Enterprise,23825.43,1,2,0.023
2025-01-19,US-East,Pro,7277.89,1,2,0.0338
2025-01-19,US-East,Basic,2568.18,3,5,0.0256
2025-01-19,US-West,Enterprise,20984.89,4,6,0.0192
2025-01-19,US-West,Pro,5651.96,1,7,0.0276
2025-01-19,US-West,Basic,2085.87,7,4,0.0345
2025-01-19,Europe,Enterprise,19660.49,2,2,0.0308
2025-01-19,Europe,Pro,5602.31,1,1,0.0371
2025-01-19,Europe,Basic,1891.76,4,5,0.0243
2025-01-19,Asia,Enterprise,14695.86,2,3,0.029
2025-01-19,Asia,Pro,4420.0,1,8,0.0287
2025-01-19,Asia,Basic,1566.41,4,9,0.0324
2025-01-20,US-East,Enterprise,40146.74,5,4,0.0366
2025-01-20,US-East,Pro,13049.75,7,7,0.029
2025-01-20,US-East,Basic,3901.56,8,4,0.0245
2025-01-20,US-West,Enterprise,33937.13,3,8,0.0282
2025-01-20,US-West,Pro,10313.09,7,5,0.0332
2025-01-20,US-West,Basic,3542.79,3,2,0.0273
2025-01-20,Europe,Enterprise,28572.74,3,6,0.0173
2025-01-20,Europe,Pro,9018.04,8,3,0.0398
2025-01-20,Europe,Basic,3452.83,3,8,0.0267
2025-01-20,Asia,Enterprise,25462.11,4,7,0.0241
2025-01-20,Asia,Pro,7407.09,1,10,0.029
2025-01-20,Asia,Basic,2578.0,6,4,0.0153
2025-01-21,US-East,Enterprise,42662.99,10,5,0.0273
2025-01-21,US-East,Pro,12740.66,9,7,0.0336
2025-01-21,US-East,Basic,3905.44,7,4,0.0205
2025-01-21,US-West,Enterprise,34985.06,6,3,0.0259
2025-01-21,US-West,Pro,9550.06,4,7,0.0332
2025-01-21,US-West,Basic,3247.1,6,6,0.0314
2025-01-21,Europe,Enterprise,29552.43,6,7,0.0263
2025-01-21,Europe,Pro,9570.75,2,2,0.0299
2025-01-21,Europe,Basic,2928.75,8,0,0.0269
2025-01-21,Asia,Enterprise,24453.54,6,2,0.0248
2025-01-21,Asia,Pro,7632.84,3,3,0.0276
2025-01-21,Asia,Basic,2550.3,5,7,0.031
2025-01-22,US-East,Enterprise,43692.0,10,1,0.0348
2025-01-22,US-East,Pro,12993.42,8,4,0.031
2025-01-22,US-East,Basic,4162.23,8,5,0.0362
2025-01-22,US-West,Enterprise,34116.84,6,7,0.0324
2025-01-22,US-West,Pro,11064.41,8,6,0.0273
2025-01-22,US-West,Basic,3438.95,6,2,0.025
2025-01-22,Europe,Enterprise,28259.53,3,1,0.0289
2025-01-22,Europe,Pro,7966.89,6,2,0.018
2025-01-22,Europe,Basic,3062.71,7,7,0.0334
2025-01-22,Asia,Enterprise,25198.38,4,2,0.0271
2025-01-22,Asia,Pro,6548.72,4,1,0.0349
2025-01-22,Asia,Basic,2282.04,5,3,0.0334
2025-01-23,US-East,Enterprise,39340.54,6,9,0.029
2025-01-23,US-East,Pro,11859.23,6,6,0.027
2025-01-23,US-East,Basic,4408.77,6,7,0.0258
2025-01-23,US-West,Enterprise,38358.39,4,5,0.0309
2025-01-23,US-West,Pro,9266.71,9,3,0.0279
2025-01-23,US-West,Basic,3575.19,3,5,0.0323
2025-01-23,Europe,Enterprise,31296.59,6,7,0.0374
2025-01-23,Europe,Pro,9356.67,5,1,0.03
2025-01-23,Europe,Basic,2872.82,6,5,0.0405
2025-01-23,Asia,Enterprise,24212.44,4,6,0.0268
2025-01-23,Asia,Pro,7445.59,5,8,0.0301
2025-01-23,Asia,Basic,2334.59,3,8,0.0334
2025-01-24,US-East,Enterprise,43817.57,7,5,0.0282
2025-01-24,US-East,Pro,12551.48,8,9,0.0335
2025-01-24,US-East,Basic,3975.75,4,2,0.0266
2025-01-24,US-West,Enterprise,34849.79,4,1,0.0246
2025-01-24,US-West,Pro,10791.65,4,7,0.0339
2025-01-24,US-West,Basic,3435.28,5,5,0.0371
2025-01-24,Europe,Enterprise,31339.58,9,4,0.0349
2025-01-24,Europe,Pro,9579.14,6,11,0.0252
2025-01-24,Europe,Basic,2987.48,7,10,0.0335
2025-01-24,Asia,Enterprise,25600.53,4,4,0.0296
2025-01-24,Asia,Pro,7652.54,3,7,0.0312
2025-01-24,Asia,Basic,2626.07,3,7,0.0286
2025-01-25,US-East,Enterprise,25969.58,9,4,0.0211
2025-01-25,US-East,Pro,7531.47,2,4,0.0232
2025-01-25,US-East,Basic,2373.66,6,4,0.0308
2025-01-25,US-West,Enterprise,21436.54,6,4,0.0372
2025-01-25,US-West,Pro,6114.51,1,4,0.0288
2025-01-25,US-West,Basic,1994.55,5,4,0.0352
2025-01-25,Europe,Enterprise,16839.49,3,5,0.0296
2025-01-25,Europe,Pro,5586.89,4,3,0.0259
2025-01-25,Europe,Basic,1954.95,5,6,0.0328
2025-01-25,Asia,Enterprise,15012.71,3,3,0.0234
2025-01-25,Asia,Pro,4089.38,3,7,0.0299
2025-01-25,Asia,Basic,1463.26,3,5,0.0282
2025-01-26,US-East,Enterprise,26804.31,8,4,0.0318
2025-01-26,US-East,Pro,7604.41,3,4,0.0256
2025-01-26,US-East,Basic,2393.33,5,11,0.0334
2025-01-26,US-West,Enterprise,20731.63,6,7,0.0418
2025-01-26,US-West,Pro,6094.87,7,6,0.0265
2025-01-26,US-West,Basic,2095.52,5,5,0.0299
2025-01-26,Europe,Enterprise,18987.71,1,5,0.0305
2025-01-26,Europe,Pro,5085.59,1,8,0.0327
2025-01-26,Europe,Basic,1827.37,1,9,0.0324
2025-01-26,Asia,Enterprise,14103.86,3,2,0.0254
2025-01-26,Asia,Pro,4461.53,6,2,0.0265
2025-01-26,Asia,Basic,1385.83,2,3,0.0285
2025-01-27,US-East,Enterprise,38324.23,6,8,0.03
2025-01-27,US-East,Pro,11546.94,9,5,0.0288
2025-01-27,US-East,Basic,4205.14,6,5,0.0298
2025-01-27,US-West,Enterprise,33647.25,10,2,0.0348
2025-01-27,US-West,Pro,10642.9,10,10,0.0291
2025-01-27,US-West,Basic,3376.41,6,4,0.0347
2025-01-27,Europe,Enterprise,32721.79,5,6,0.0291
2025-01-27,Europe,Pro,8974.87,9,3,0.0286
2025-01-27,Europe,Basic,3054.7,10,3,0.037
2025-01-27,Asia,Enterprise,25207.59,6,6,0.0331
2025-01-27,Asia,Pro,7518.54,5,10,0.0268
2025-01-27,Asia,Basic,2345.09,3,4,0.0266
2025-01-28,US-East,Enterprise,39369.24,10,9,0.033
2025-01-28,US-East,Pro,11785.66,8,6,0.0232
2025-01-28,US-East,Basic,3928.33,10,3,0.0283
2025-01-28,US-West,Enterprise,35916.47,6,11,0.0303
2025-01-28,US-West,Pro,11127.17,5,5,0.0361
2025-01-28,US-West,Basic,3400.75,3,2,0.0332
2025-01-28,Europe,Enterprise,31892.87,9,8,0.0388
2025-01-28,Europe,Pro,9050.91,3,11,0.0272
2025-01-28,Europe,Basic,3082.85,4,8,0.0263
2025-01-28,Asia,Enterprise,24144.21,7,6,0.0384
2025-01-28,Asia,Pro,7617.55,7,9,0.0308
2025-01-28,Asia,Basic,2569.15,1,1,0.0356
2025-01-29,US-East,Enterprise,39657.06,7,9,0.0314
2025-01-29,US-East,Pro,12443.98,10,2,0.0294
2025-01-29,US-East,Basic,4090.01,6,2,0.0214
2025-01-29,US-West,Enterprise,34721.07,3,4,0.0277
2025-01-29,US-West,Pro,10132.28,4,4,0.0344
2025-01-29,US-West,Basic,3445.88,3,5,0.0292
2025-01-29,Europe,Enterprise,28783.61,7,5,0.0241
2025-01-29,Europe,Pro,8218.72,6,10,0.0382
2025-01-29,Europe,Basic,3091.29,9,8,0.0313
2025-01-29,Asia,Enterprise,23239.23,3,5,0.0434
2025-01-29,Asia,Pro,6958.22,5,4,0.0245
2025-01-29,Asia,Basic,2506.87,7,5,0.0274
2025-01-30,US-East,Enterprise,39129.93,9,4,0.0315
2025-01-30,US-East,Pro,12656.79,11,4,0.0334
2025-01-30,US-East,Basic,3947.32,6,6,0.0397
2025-01-30,US-West,Enterprise,32734.71,8,2,0.0282
2025-01-30,US-West,Pro,10634.74,2,5,0.0196
2025-01-30,US-West,Basic,3823.6,7,2,0.0314
2025-01-30,Europe,Enterprise,31446.24,4,5,0.0316
2025-01-30,Europe,Pro,9109.88,7,4,0.0244
2025-01-30,Europe,Basic,3121.16,8,3,0.0305
2025-01-30,Asia,Enterprise,25160.79,4,10,0.0311
2025-01-30,Asia,Pro,7823.68,7,5,0.0259
2025-01-30,Asia,Basic,2329.27,3,3,0.0242
2025-01-31,US-East,Enterprise,39228.77,8,12,0.0253
2025-01-31,US-East,Pro,13538.33,10,6,0.0288
2025-01-31,US-East,Basic,3976.68,4,6,0.0232
2025-01-31,US-West,Enterprise,38781.77,9,10,0.0305
2025-01-31,US-West,Pro,10829.93,8,5,0.0307
2025-01-31,US-West,Basic,3407.81,7,3,0.0404
2025-01-31,Europe,Enterprise,31023.69,7,2,0.0279
2025-01-31,Europe,Pro,10219.26,7,7,0.0233
2025-01-31,Europe,Basic,3021.81,8,5,0.036
2025-01-31,Asia,Enterprise,24324.44,4,7,0.0358
2025-01-31,Asia,Pro,6540.9,3,5,0.0252
2025-01-31,Asia,Basic,2464.39,6,5,0.0308
2025-02-01,US-East,Enterprise,25487.22,7,4,0.0358
2025-02-01,US-East,Pro,7968.52,4,3,0.0266
2025-02-01,US-East,Basic,2345.91,4,10,0.0237
2025-02-01,US-West,Enterprise,23018.61,5,9,0.0382
2025-02-01,US-West,Pro,6304.72,4,6,0.0375
2025-02-01,US-West,Basic,2047.87,6,6,0.0241
2025-02-01,Europe,Enterprise,20260.9,6,5,0.0323
2025-02-01,Europe,Pro,5090.2,1,4,0.0286
2025-02-01,Europe,Basic,1793.07,3,3,0.0281
2025-02-01,Asia,Enterprise,14593.99,1,3,0.0295
2025-02-01,Asia,Pro,4451.16,3,4,0.0302
2025-02-01,Asia,Basic,1530.54,4,4,0.0249
2025-02-02,US-East,Enterprise,26526.57,4,5,0.0201
2025-02-02,US-East,Pro,7275.02,6,4,0.0261
2025-02-02,US-East,Basic,2346.54,4,5,0.0242
2025-02-02,US-West,Enterprise,19398.75,3,3,0.0308
2025-02-02,US-West,Pro,5958.26,5,6,0.0326
2025-02-02,US-West,Basic,2229.54,3,5,0.0359
2025-02-02,Europe,Enterprise,19327.42,6,7,0.0357
2025-02-02,Europe,Pro,5686.93,5,4,0.0327
2025-02-02,Europe,Basic,1786.65,2,4,0.0277
2025-02-02,Asia,Enterprise,15679.18,4,7,0.0384
2025-02-02,Asia,Pro,4641.6,1,3,0.0354
2025-02-02,Asia,Basic,1525.2,2,3,0.0194
2025-02-03,US-East,Enterprise,41397.43,7,4,0.035
2025-02-03,US-East,Pro,11749.01,8,3,0.0347
2025-02-03,US-East,Basic,3829.91,9,9,0.0318
2025-02-03,US-West,Enterprise,35780.44,5,3,0.0264
2025-02-03,US-West,Pro,10173.29,9,4,0.0262
2025-02-03,US-West,Basic,3602.74,10,2,0.0267
2025-02-03,Europe,Enterprise,29903.17,8,2,0.033
2025-02-03,Europe,Pro,10701.92,7,4,0.0258
2025-02-03,Europe,Basic,3035.53,5,9,0.0384
2025-02-03,Asia,Enterprise,23885.89,2,4,0.0357
2025-02-03,Asia,Pro,7910.84,6,5,0.0277
2025-02-03,Asia,Basic,2289.23,6,3,0.0317
2025-02-04,US-East,Enterprise,47234.71,8,2,0.031
2025-02-04,US-East,Pro,11997.38,4,5,0.0313
2025-02-04,US-East,Basic,4379.83,5,9,0.0335
2025-02-04,US-West,Enterprise,35169.92,4,7,0.0362
2025-02-04,US-West,Pro,10909.31,7,4,0.0197
2025-02-04,US-West,Basic,3438.08,5,6,0.0288
2025-02-04,Europe,Enterprise,32042.48,6,5,0.0286
2025-02-04,Europe,Pro,8969.55,6,4,0.0264
2025-02-04,Europe,Basic,2851.39,7,6,0.0296
2025-02-04,Asia,Enterprise,25035.69,8,5,0.0231
2025-02-04,Asia,Pro,8395.48,4,7,0.0322
2025-02-04,Asia,Basic,2194.89,5,6,0.0306
2025-02-05,US-East,Enterprise,40747.98,9,4,0.0342
2025-02-05,US-East,Pro,12726.79,5,5,0.0273
2025-02-05,US-East,Basic,4251.66,11,11,0.0307
2025-02-05,US-West,Enterprise,34592.58,7,4,0.0379
2025-02-05,US-West,Pro,10429.67,5,3,0.0181
2025-02-05,US-West,Basic,3508.41,6,2,0.0309
2025-02-05,Europe,Enterprise,34159.69,10,4,0.0405
2025-02-05,Europe,Pro,9728.64,5,2,0.0341
2025-02-05,Europe,Basic,3157.21,4,6,0.0261
2025-02-05,Asia,Enterprise,25320.41,2,2,0.0389
2025-02-05,Asia,Pro,7175.67,3,6,0.0331
2025-02-05,Asia,Basic,2650.2,2,4,0.0432
2025-02-06,US-East,Enterprise,42185.72,8,6,0.0272
2025-02-06,US-East,Pro,13636.8,11,5,0.0314
2025-02-06,US-East,Basic,3743.94,9,5,0.0368
2025-02-06,US-West,Enterprise,33686.26,1,5,0.0274
2025-02-06,US-West,Pro,9983.42,7,4,0.0344
2025-02-06,US-West,Basic,3384.97,9,6,0.0316
2025-02-06,Europe,Enterprise,28651.97,5,1,0.035
2025-02-06,Europe,Pro,9040.32,6,5,0.0282
2025-02-06,Europe,Basic,3248.25,1,2,0.0311
2025-02-06,Asia,Enterprise,26610.88,5,7,0.0345
2025-02-06,Asia,Pro,7267.42,2,5,0.0304
2025-02-06,Asia,Basic,2362.1,3,2,0.0254
2025-02-07,US-East,Enterprise,45017.75,11,4,0.0415
2025-02-07,US-East,Pro,11722.69,10,6,0.0357
2025-02-07,US-East,Basic,4161.34,9,5,0.034
2025-02-07,US-West,Enterprise,37276.74,5,10,0.0215
2025-02-07,US-West,Pro,11403.04,9,7,0.0223
2025-02-07,US-West,Basic,3473.27,8,9,0.0268
2025-02-07,Europe,Enterprise,30081.28,5,8,0.0317
2025-02-07,Europe,Pro,9561.63,4,6,0.0361
2025-02-07,Europe,Basic,3353.52,4,9,0.0297
2025-02-07,Asia,Enterprise,25410.48,5,6,0.0292
2025-02-07,Asia,Pro,7630.07,8,9,0.0318
2025-02-07,Asia,Basic,2608.82,4,6,0.0254
2025-02-08,US-East,Enterprise,25205.35,5,3,0.0321
2025-02-08,US-East,Pro,7630.07,2,6,0.0234
2025-02-08,US-East,Basic,2565.62,4,7,0.0217
2025-02-08,US-West,Enterprise,21267.98,4,6,0.0383
2025-02-08,US-West,Pro,6352.86,1,1,0.0264
2025-02-08,US-West,Basic,2213.83,5,4,0.0308
2025-02-08,Europe,Enterprise,20423.17,5,1,0.0295
2025-02-08,Europe,Pro,5581.7,2,5,0.0355
2025-02-08,Europe,Basic,1883.54,6,9,0.0229
2025-02-08,Asia,Enterprise,14836.3,1,1,0.0351
2025-02-08,Asia,Pro,4326.01,1,2,0.0211
2025-02-08,Asia,Basic,1558.92,1,6,0.0239
2025-02-09,US-East,Enterprise,24105.98,2,3,0.0255
2025-02-09,US-East,Pro,7757.07,6,5,0.0277
2025-02-09,US-East,Basic,2744.78,5,7,0.0347
